Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
171,205,163,13,7,104.90,1,not out,1,v Australia,Perth,2016-01-12,https://stats.espncricinfo.com/ci/engine/match/895807.html,309,3,55.33980582524271,L
124,175,127,11,3,97.63,1,run out,1,v Australia,Brisbane,2016-01-15,https://stats.espncricinfo.com/ci/engine/match/895809.html,308,8,40.25974025974026,L
6,17,11,0,0,54.54,1,caught,1,v Australia,Melbourne,2016-01-17,https://stats.espncricinfo.com/ci/engine/match/895811.html,295,6,2.0338983050847457,L
41,28,25,2,3,164.00,1,caught,2,v Australia,Canberra,2016-01-20,https://stats.espncricinfo.com/ci/engine/match/895813.html,323,10,12.693498452012383,L
99,142,108,9,1,91.66,1,caught,2,v Australia,Sydney,2016-01-23,https://stats.espncricinfo.com/ci/engine/match/895815.html,331,4,29.909365558912388,W
14,44,26,1,1,53.84,1,lbw,2,v New Zealand,Dharamsala,2016-10-16,https://stats.espncricinfo.com/ci/engine/match/1030219.html,194,4,7.216494845360824,W
15,28,27,1,1,55.55,1,caught,2,v New Zealand,Delhi,2016-10-20,https://stats.espncricinfo.com/ci/engine/match/1030221.html,236,10,6.3559322033898304,L
13,35,21,2,0,61.90,1,lbw,2,v New Zealand,Mohali,2016-10-23,https://stats.espncricinfo.com/ci/engine/match/1030223.html,289,3,4.498269896193772,W
11,15,19,2,0,57.89,2,caught,2,v New Zealand,Ranchi,2016-10-26,https://stats.espncricinfo.com/ci/engine/match/1030225.html,241,10,4.564315352697095,L
70,107,65,5,3,107.69,2,caught,1,v New Zealand,Visakhapatnam,2016-10-29,https://stats.espncricinfo.com/ci/engine/match/1030227.html,269,6,26.022304832713754,W
91,146,119,7,2,76.47,1,run out,1,v Pakistan,Birmingham,2017-06-04,https://stats.espncricinfo.com/ci/engine/match/1022353.html,319,3,28.526645768025077,W
78,107,79,6,3,98.73,1,caught,1,v Sri Lanka,The Oval,2017-06-08,https://stats.espncricinfo.com/ci/engine/match/1022361.html,321,6,24.299065420560748,L
12,23,20,1,1,60.00,1,caught,2,v South Africa,The Oval,2017-06-11,https://stats.espncricinfo.com/ci/engine/match/1022367.html,193,2,6.217616580310881,W
123,165,129,15,1,95.34,1,not out,2,v Bangladesh,Birmingham,2017-06-15,https://stats.espncricinfo.com/ci/engine/match/1022373.html,265,1,46.41509433962264,W
