Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
50,87,61,5,0,81.96,4,lbw,2,v England,Cuttack,2008-11-26,https://stats.espncricinfo.com/ci/engine/match/361047.html,273,4,18.315018315018314,W
61,85,65,5,0,93.84,5,not out,2,v Sri Lanka,Dambulla,2009-01-28,https://stats.espncricinfo.com/ci/engine/match/386530.html,247,4,24.696356275303643,W
23,55,35,0,0,65.71,6,caught,1,v Sri Lanka,Colombo (RPS),2009-01-31,https://stats.espncricinfo.com/ci/engine/match/386531.html,256,9,8.984375,W
35,70,45,1,0,77.77,5,not out,1,v Sri Lanka,Colombo (RPS),2009-02-03,https://stats.espncricinfo.com/ci/engine/match/386532.html,363,5,9.641873278236915,W
94,140,96,4,2,97.91,3,caught,1,v Sri Lanka,Colombo (RPS),2009-02-05,https://stats.espncricinfo.com/ci/engine/match/386533.html,332,5,28.313253012048197,W
53,85,58,1,2,91.37,6,caught,2,v Sri Lanka,Colombo (RPS),2009-02-08,https://stats.espncricinfo.com/ci/engine/match/386534.html,252,10,21.03174603174603,L
84,120,89,6,0,94.38,3,not out,1,v New Zealand,Napier,2009-03-03,https://stats.espncricinfo.com/ci/engine/match/366623.html,273,4,30.76923076923077,W
23,-,19,2,0,121.05,5,not out,1,v New Zealand,Wellington,2009-03-06,https://stats.espncricinfo.com/ci/engine/match/366626.html,188,4,12.23404255319149,L
68,76,58,5,2,117.24,5,caught,1,v New Zealand,Christchurch,2009-03-08,https://stats.espncricinfo.com/ci/engine/match/366627.html,392,4,17.346938775510203,W
9,19,21,1,0,42.85,6,bowled,1,v New Zealand,Auckland,2009-03-14,https://stats.espncricinfo.com/ci/engine/match/366625.html,149,10,6.0402684563758395,L
41,81,46,2,1,89.13,5,run out,1,v West Indies,Kingston,2009-06-26,https://stats.espncricinfo.com/ci/engine/match/377313.html,339,6,12.094395280235988,W
95,201,130,6,2,73.07,5,bowled,1,v West Indies,Kingston,2009-06-28,https://stats.espncricinfo.com/ci/engine/match/377314.html,188,10,50.53191489361703,L
46,50,34,2,1,135.29,3,not out,2,v West Indies,Gros Islet,2009-07-03,https://stats.espncricinfo.com/ci/engine/match/377315.html,159,4,28.930817610062892,W
35,86,65,4,0,53.84,5,not out,2,v New Zealand,Colombo (RPS),2009-09-11,https://stats.espncricinfo.com/ci/engine/match/403382.html,156,4,22.435897435897438,W
8,24,18,0,0,44.44,6,bowled,2,v Sri Lanka,Colombo (RPS),2009-09-12,https://stats.espncricinfo.com/ci/engine/match/403381.html,168,10,4.761904761904762,L
56,82,62,3,0,90.32,3,caught,1,v Sri Lanka,Colombo (RPS),2009-09-14,https://stats.espncricinfo.com/ci/engine/match/403383.html,319,5,17.55485893416928,W
3,8,9,0,0,33.33,5,lbw,2,v Pakistan,Centurion,2009-09-26,https://stats.espncricinfo.com/ci/engine/match/415278.html,248,10,1.2096774193548387,L
34,75,46,4,0,73.91,5,caught,2,v Australia,Vadodara,2009-10-25,https://stats.espncricinfo.com/ci/engine/match/416236.html,288,8,11.805555555555555,L
124,141,107,9,3,115.88,5,caught,1,v Australia,Nagpur,2009-10-28,https://stats.espncricinfo.com/ci/engine/match/416237.html,354,7,35.02824858757062,W
71,153,95,6,0,74.73,5,not out,2,v Australia,Delhi,2009-10-31,https://stats.espncricinfo.com/ci/engine/match/416238.html,230,4,30.869565217391305,W
26,58,46,2,0,56.52,5,caught,2,v Australia,Mohali,2009-11-02,https://stats.espncricinfo.com/ci/engine/match/416239.html,226,10,11.504424778761061,L
6,17,15,0,0,40.00,5,caught,2,v Australia,Hyderabad,2009-11-05,https://stats.espncricinfo.com/ci/engine/match/416240.html,347,10,1.729106628242075,L
24,97,77,1,0,31.16,5,lbw,1,v Australia,Guwahati,2009-11-08,https://stats.espncricinfo.com/ci/engine/match/416241.html,170,10,14.117647058823529,L
72,78,53,7,3,135.84,3,caught,1,v Sri Lanka,Rajkot,2009-12-15,https://stats.espncricinfo.com/ci/engine/match/430886.html,414,7,17.391304347826086,W
107,135,111,8,2,96.39,5,caught,1,v Sri Lanka,Nagpur,2009-12-18,https://stats.espncricinfo.com/ci/engine/match/430887.html,301,7,35.548172757475086,L
37,85,70,3,0,52.85,5,caught,1,v Sri Lanka,Mirpur,2010-01-05,https://stats.espncricinfo.com/ci/engine/match/434259.html,279,9,13.261648745519713,L
